filename,status,duration_sec,snr_db,clipping_pct
cat_41.wav,Quarantined,10.9,30.450000762939453,0.0
cat_42.wav,Quarantined,12.0,24.440000534057617,0.0
cat_43.wav,Quarantined,12.0,24.25,0.0
cat_44.wav,Quarantined,12.0,25.40999984741211,0.0
cat_45.wav,Quarantined,17.34,34.36000061035156,0.0
cat_46.wav,Quarantined,11.6,49.81999969482422,0.0
cat_47.wav,Quarantined,12.0,51.09000015258789,0.0
cat_48.wav,Quarantined,11.8,50.400001525878906,0.0
cat_49.wav,Quarantined,12.0,100.0,0.0
cat_5.wav,Quarantined,12.0,32.20000076293945,0.0
cat_50.wav,Quarantined,11.9,36.529998779296875,0.0
cat_51.wav,Quarantined,12.0,33.06999969482422,0.0
cat_52.wav,Approved,2.56,49.4900016784668,0.0
cat_53.wav,Approved,1.18,28.31999969482422,0.01
cat_54.wav,Approved,1.08,26.260000228881836,0.01
cat_55.wav,Quarantined,0.92,48.06999969482422,0.01
cat_56.wav,Approved,1.15,32.13999938964844,0.01
cat_57.wav,Quarantined,12.0,28.8799991607666,0.0
cat_58.wav,Quarantined,12.0,27.06999969482422,0.0
cat_59.wav,Quarantined,12.0,28.65999984741211,0.0
cat_6.wav,Quarantined,11.5,31.34000015258789,0.0
cat_60.wav,Quarantined,13.56,20.110000610351562,0.0
cat_61.wav,Approved,9.7,39.56999969482422,0.0
cat_62.wav,Quarantined,12.0,37.959999084472656,0.0
cat_63.wav,Quarantined,12.0,35.400001525878906,0.0
cat_64.wav,Quarantined,11.7,43.119998931884766,0.0
cat_65.wav,Approved,9.5,35.58000183105469,0.0
cat_66.wav,Approved,2.85,28.850000381469727,0.0
cat_67.wav,Quarantined,0.98,32.40999984741211,0.0
cat_68.wav,Approved,2.36,100.0,0.0
cat_69.wav,Quarantined,17.69,28.809999465942383,0.0
cat_7.wav,Quarantined,11.9,26.549999237060547,0.0
cat_70.wav,Approved,1.31,27.09000015258789,0.0
cat_71.wav,Approved,8.49,27.219999313354492,0.0
cat_72.wav,Quarantined,11.9,26.280000686645508,0.0
cat_73.wav,Quarantined,12.0,25.6299991607666,0.0
cat_74.wav,Approved,6.2,25.56999969482422,0.0
cat_75.wav,Approved,3.15,38.65999984741211,0.01
cat_76.wav,Approved,1.94,27.25,0.01
cat_77.wav,Approved,3.04,25.18000030517578,0.01
cat_78.wav,Quarantined,15.0,28.1200008392334,0.0
cat_79.wav,Quarantined,13.39,60.86000061035156,0.0
cat_8.wav,Approved,1.49,32.599998474121094,0.0
cat_80.wav,Quarantined,11.9,21.81999969482422,0.0
cat_81.wav,Quarantined,12.0,19.860000610351562,0.0
cat_82.wav,Quarantined,12.0,21.110000610351562,0.0
cat_83.wav,Approved,1.99,24.829999923706055,0.0
cat_84.wav,Approved,9.12,19.690000534057617,0.0
cat_85.wav,Approved,1.09,34.70000076293945,0.01
cat_86.wav,Approved,1.77,33.81999969482422,0.0
cat_87.wav,Approved,9.7,37.75,0.0
cat_88.wav,Quarantined,11.7,36.54999923706055,0.0
cat_89.wav,Quarantined,10.8,25.489999771118164,0.0
cat_9.wav,Quarantined,0.98,37.13999938964844,0.01
cat_90.wav,Quarantined,12.22,27.43000030517578,0.0
cat_91.wav,Approved,1.17,32.04999923706055,0.01
cat_92.wav,Approved,1.12,27.0,0.01
cat_93.wav,Approved,1.8,27.860000610351562,0.0
cat_94.wav,Quarantined,11.9,33.70000076293945,0.0
cat_95.wav,Quarantined,12.0,31.610000610351562,0.0
cat_96.wav,Quarantined,12.0,31.700000762939453,0.0
cat_97.wav,Quarantined,11.5,20.219999313354492,0.0
cat_98.wav,Quarantined,12.0,21.200000762939453,0.0
cat_99.wav,Quarantined,12.0,23.610000610351562,0.0
dog_barking_0.wav,Quarantined,17.2,44.61000061035156,0.0
dog_barking_1.wav,Quarantined,11.6,41.369998931884766,0.0
dog_barking_10.wav,Approved,2.49,41.029998779296875,0.0
dog_barking_100.wav,Approved,1.85,44.2400016784668,0.01
dog_barking_101.wav,Approved,3.0,29.059999465942383,0.0
